Termékcsoport;Cikkszám;Vonalkód;Megnevezés;Kiszerelés;;Nagyker nettó ár;Áfa;Nagyker bruttó ár;VTSZ;Státusz
Ajándék, készülékek;44978;5996488220502;DÍSZ CSEPP ÜVEG 15CM CIKLÁMEN SZÍNŰ 1DB;1;db;325;27;413;701399009;
Ajándék, készülékek;44991;5996488365814;ANGYAL RÁZÓGÖMB 4,5X4,5X6,5CM SZÜRKE-FEHÉR 1DB;1;db;562;27;714;3926400000;
Ajándék, készülékek;44957;5996488413591;MIKULÁS TEXTIL 20CM PIROS-SZÜRKE 1DB;1;db;366;27;465;630790000;
Ajándék, készülékek;44963;5996488413669;CSILLAG FENYŐFA SZÍV HARANG HOLD GIRLAND TEXTIL 50CM 1DB;1;db;162;27;206;630790000;
Ajándék, készülékek;45160;5996033924817;KÉKBAGOLY MÉCSESTARTÓ 1DB;1;db;377;27;479;6913901010;Új
Ajándék, készülékek;45129;5996488304929;GYERTYAGYŰRŰ MASNIVAL-CSÖRGŐVEL-GOMBBAL MŰANYAG 12CM 1DB;1;db;325;27;413;630790000;Új
Ajándék, készülékek;45130;5996488321032;SZENT CSALÁD ADVENTI NAPTÁR FA 23,7X14,5CM 1DB;1;db;1 629;27;2 069;630790000;Új
Ajándék, készülékek;44949;5996488363520;SZÍV-FENYŐFA GIRLAND FA 8,5X5,52X70CM 1DB;1;db;570;27;723;442000000;
Ajándék, készülékek;42283;5996488425358;ANGYAL TASAKBAN 3X4X5CM 1DB;1;db;203;27;258;39269097;
Ajándék, készülékek;44960;5996488442201;TEXTIL KESZTYŰ-CSIZMA AKASZTÓS DÍSZ 8CM FEHÉR 1DB;1;db;285;27;362;630790000;
Ajándék, készülékek;42278;5996533002312;MÉCSESTARTÓ ANGYALOS 1DB;1;db;318;27;404;6913901000;
Ajándék, készülékek;45154;5996033905885;RÉNSZARVAS MÉCSESTARTÓ PIROS 1DB;1;db;244;27;310;7013990090;Új
